month_year,state,district,pincode,assi,anom_score,type
2025-10,Andhra Pradesh,Ananthapuramu,515123,20.1,4.410256410256411,MoM Spike
2025-10,Andhra Pradesh,Ananthapuramu,515124,11.600000000000001,4.7272727272727275,MoM Spike
2025-10,Andhra Pradesh,Ananthapuramu,515144,20.7,3.34,MoM Spike
2025-10,Andhra Pradesh,Ananthapuramu,515405,41.300000000000004,3.360824742268042,MoM Spike
2025-04,Andhra Pradesh,Ananthapuramu,515425,97.0,3.9,MoM Spike
2025-10,Andhra Pradesh,Ananthapuramu,515455,22.6,3.5384615384615388,MoM Spike
2025-10,Andhra Pradesh,Ananthapuramu,515651,21.7,3.829787234042553,MoM Spike
2025-04,Andhra Pradesh,Ananthapuramu,515872,40.0,3.880952380952381,MoM Spike
2025-05,Andhra Pradesh,Annamayya,516257,23.799999999999997,3.7692307692307687,MoM Spike
2025-05,Andhra Pradesh,Annamayya,516267,35.6,5.1000000000000005,MoM Spike
2025-05,Andhra Pradesh,Annamayya,517234,28.2,6.6842105263157885,MoM Spike
2025-05,Andhra Pradesh,Annamayya,517280,16.4,3.3499999999999996,MoM Spike
2025-05,Andhra Pradesh,Annamayya,517370,40.2,11.117647058823529,MoM Spike
2025-05,Andhra Pradesh,Bapatla,522265,51.0,4.531914893617021,MoM Spike
2025-10,Andhra Pradesh,Chittoor,517319,27.1,3.6065573770491803,MoM Spike
2025-05,Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,533216,14.8,3.6470588235294117,MoM Spike
2025-04,Andhra Pradesh,East Godavari,533445,114.80000000000001,3.3698113207547173,MoM Spike
2025-05,Andhra Pradesh,Eluru,521201,28.9,6.475,MoM Spike
2025-06,Andhra Pradesh,Eluru,521333,15.600000000000001,3.6111111111111116,MoM Spike
2025-06,Andhra Pradesh,Eluru,534447,75.6,3.505882352941176,MoM Spike
2025-10,Andhra Pradesh,Guntur,522304,57.8,3.8595041322314043,MoM Spike
2025-05,Andhra Pradesh,Kakinada,533001,53.0,8.310344827586206,MoM Spike
2025-05,Andhra Pradesh,Kakinada,533005,84.8,5.217391304347826,MoM Spike
2025-06,Andhra Pradesh,Kakinada,533016,32.8,4.12121212121212,MoM Spike
2025-10,Andhra Pradesh,Kakinada,533433,4.9,3.916666666666667,MoM Spike
2025-09,Andhra Pradesh,Karimnagar,505531,15.3,3.527777777777778,MoM Spike
2025-09,Andhra Pradesh,Khammam,507201,18.8,3.95,MoM Spike
2025-09,Andhra Pradesh,Khammam,507208,27.5,4.0892857142857135,MoM Spike
2025-10,Andhra Pradesh,Kurnool,518598,58.900000000000006,3.4044117647058822,MoM Spike
2025-09,Andhra Pradesh,Mahabub Nagar,509132,15.3,4.09375,MoM Spike
2025-09,Andhra Pradesh,Mahabub Nagar,509339,14.8,4.266666666666667,MoM Spike
2025-09,Andhra Pradesh,Mahbubnagar,509104,28.1,3.6935483870967745,MoM Spike
2025-09,Andhra Pradesh,Medak,502281,13.100000000000001,3.7000000000000006,MoM Spike
2025-09,Andhra Pradesh,Medak,502291,30.1,3.712121212121212,MoM Spike
2025-09,Andhra Pradesh,Medak,502301,14.8,3.3888888888888893,MoM Spike
2025-05,Andhra Pradesh,N. T. R,520012,71.6,3.426829268292683,MoM Spike
2025-05,Andhra Pradesh,N. T. R,521185,60.8,3.3521126760563376,MoM Spike
2025-09,Andhra Pradesh,Nalgonda,508116,14.5,3.84375,MoM Spike
2025-09,Andhra Pradesh,Nalgonda,508204,18.8,4.5,MoM Spike
2025-09,Andhra Pradesh,Nalgonda,508284,18.400000000000002,3.6190476190476195,MoM Spike
2025-05,Andhra Pradesh,Nandyal,518123,34.6,6.739130434782609,MoM Spike
2025-05,Andhra Pradesh,Nandyal,518124,49.800000000000004,3.7037037037037033,MoM Spike
2025-10,Andhra Pradesh,Nandyal,518196,6.800000000000001,3.333333333333334,MoM Spike
2025-05,Andhra Pradesh,Nandyal,518599,25.0,3.814814814814815,MoM Spike
2025-04,Andhra Pradesh,Nellore,524004,275.0,3.8763250883392226,MoM Spike
2025-04,Andhra Pradesh,Nellore,524005,50.0,7.225806451612902,MoM Spike
2025-04,Andhra Pradesh,Nellore,524221,22.6,4.363636363636364,MoM Spike
2025-04,Andhra Pradesh,Nellore,524222,22.8,5.999999999999999,MoM Spike
2025-04,Andhra Pradesh,Nellore,524225,20.6,4.684210526315789,MoM Spike
2025-04,Andhra Pradesh,Nellore,524227,27.400000000000002,3.733333333333334,MoM Spike
2025-04,Andhra Pradesh,Nellore,524230,37.2,3.6585365853658542,MoM Spike
2025-04,Andhra Pradesh,Nellore,524236,27.200000000000003,5.130434782608696,MoM Spike
2025-04,Andhra Pradesh,Nellore,524240,26.8,3.964285714285714,MoM Spike
2025-04,Andhra Pradesh,Nellore,524307,38.6,5.6000000000000005,MoM Spike
2025-04,Andhra Pradesh,Nellore,524312,28.0,6.63157894736842,MoM Spike
2025-04,Andhra Pradesh,Nellore,524314,68.60000000000001,3.405063291139241,MoM Spike
2025-04,Andhra Pradesh,Nellore,524315,101.0,3.7222222222222223,MoM Spike
2025-04,Andhra Pradesh,Nellore,524316,43.400000000000006,5.000000000000001,MoM Spike
2025-04,Andhra Pradesh,Nellore,524317,27.6,4.107142857142857,MoM Spike
2025-04,Andhra Pradesh,Nellore,524320,44.2,3.913043478260869,MoM Spike
2025-04,Andhra Pradesh,Nellore,524321,38.800000000000004,3.326086956521739,MoM Spike
2025-04,Andhra Pradesh,Nellore,524342,17.400000000000002,4.411764705882353,MoM Spike
2025-04,Andhra Pradesh,Nellore,524345,101.60000000000001,5.107142857142858,MoM Spike
2025-04,Andhra Pradesh,Nellore,524346,50.400000000000006,4.468085106382979,MoM Spike
2025-04,Andhra Pradesh,Nellore,524415,36.0,3.4047619047619047,MoM Spike
2025-05,Andhra Pradesh,Palnadu,522615,47.4,5.368421052631578,MoM Spike
2025-05,Andhra Pradesh,Palnadu,522616,78.0,3.4886363636363633,MoM Spike
2025-06,Andhra Pradesh,Palnadu,522647,108.2,3.439024390243902,MoM Spike
2025-11,Andhra Pradesh,Parvathipuram Manyam,535592,7.699999999999999,4.117647058823529,MoM Spike
2025-04,Andhra Pradesh,Prakasam,523115,26.0,5.136363636363637,MoM Spike
2025-04,Andhra Pradesh,Prakasam,523116,51.2,6.457142857142857,MoM Spike
2025-04,Andhra Pradesh,Prakasam,523304,156.0,4.946969696969696,MoM Spike
2025-05,Andhra Pradesh,Sri Potti Sriramulu Nellore,523105,26.9,4.166666666666666,MoM Spike
2025-05,Andhra Pradesh,Sri Potti Sriramulu Nellore,524002,100.19999999999999,4.499999999999998,MoM Spike
2025-05,Andhra Pradesh,Sri Potti Sriramulu Nellore,524137,50.8,6.194444444444444,MoM Spike
2025-10,Andhra Pradesh,Sri Potti Sriramulu Nellore,524301,13.0,5.666666666666667,MoM Spike
2025-10,Andhra Pradesh,Sri Potti Sriramulu Nellore,524303,8.1,8.1,MoM Spike
2025-11,Andhra Pradesh,Sri Potti Sriramulu Nellore,524310,7.7,3.35,MoM Spike
2025-05,Andhra Pradesh,Sri Sathya Sai,515110,23.0,5.0,MoM Spike
2025-05,Andhra Pradesh,Sri Sathya Sai,515201,94.19999999999999,5.432432432432432,MoM Spike
2025-05,Andhra Pradesh,Tirupati,517501,210.4,6.82962962962963,MoM Spike
2025-07,Andhra Pradesh,Tirupati,517507,73.4,5.098360655737705,MoM Spike
2025-05,Andhra Pradesh,Tirupati,517520,51.2,8.0,MoM Spike
2025-09,Andhra Pradesh,Tirupati,517541,32.5,7.81578947368421,MoM Spike
2025-09,Andhra Pradesh,Tirupati,517620,14.8,3.3888888888888893,MoM Spike
2025-09,Andhra Pradesh,Tirupati,524101,15.600000000000001,3.6111111111111116,MoM Spike
2025-09,Andhra Pradesh,Tirupati,524406,19.7,4.447368421052631,MoM Spike
2025-11,Andhra Pradesh,Tirupati,524412,23.599999999999998,3.7307692307692304,MoM Spike
2025-11,Andhra Pradesh,Tirupati,524421,17.9,5.517241379310343,MoM Spike
2025-04,Andhra Pradesh,Visakhapatnam,531020,34.0,3.487179487179487,MoM Spike
2025-09,Andhra Pradesh,Visakhapatnam,535273,25.1,3.4999999999999996,MoM Spike
2025-09,Andhra Pradesh,Warangal,506105,15.6,4.187499999999999,MoM Spike
2025-04,Andhra Pradesh,West Godavari,507135,21.0,3.5833333333333326,MoM Spike
2025-04,Andhra Pradesh,West Godavari,534195,28.8,5.478260869565218,MoM Spike
2025-10,Andhra Pradesh,West Godavari,534265,35.2,4.484848484848485,MoM Spike
2025-04,Andhra Pradesh,Y. S. R,516003,70.6,6.617021276595744,MoM Spike
2025-05,Andhra Pradesh,Y. S. R,516329,19.6,4.421052631578947,MoM Spike
2025-04,Andhra Pradesh,Y. S. R,516360,64.0,6.386363636363636,MoM Spike
2025-05,Andhra Pradesh,Y. S. R,516390,51.8,5.139534883720929,MoM Spike
2025-09,Arunachal Pradesh,Changlang,792121,118.1,27.357142857142854,MoM Spike
2025-09,Arunachal Pradesh,Changlang,792123,47.9,14.281249999999998,MoM Spike
2025-07,Arunachal Pradesh,Longding,792131,205.0,7.373983739837398,MoM Spike
2025-11,Arunachal Pradesh,Namsai,792102,55.6,4.390476190476191,MoM Spike
2025-11,Arunachal Pradesh,Namsai,792105,79.5,4.875912408759124,MoM Spike
2025-09,Arunachal Pradesh,Siang,791001,59.6,7.416666666666666,MoM Spike
2025-09,Arunachal Pradesh,Tawang,790105,22.5,4.595238095238095,MoM Spike
2025-10,Arunachal Pradesh,Tirap,786629,10.6,3.4615384615384612,MoM Spike
2025-10,Arunachal Pradesh,Tirap,792129,41.4,14.142857142857144,MoM Spike
2025-09,Arunachal Pradesh,West Kameng,790002,33.4,5.615384615384615,MoM Spike
2025-04,Assam,Baksa,781315,205.20000000000002,4.48404255319149,MoM Spike
2025-07,Assam,Baksa,781344,36.0,3.4047619047619047,MoM Spike
2025-09,Assam,Baksa,781349,22.200000000000003,3.833333333333333,MoM Spike
2025-04,Assam,Baksa,781367,124.5,4.060483870967742,MoM Spike
2025-04,Assam,Baksa,781368,88.1,3.7393617021276593,MoM Spike
2025-09,Assam,Baksa,781368,55.099999999999994,4.1,MoM Spike
2025-07,Assam,Baksa,781372,74.5,4.033333333333333,MoM Spike
2025-09,Assam,Barpeta,781301,60.2,7.27027027027027,MoM Spike
2025-09,Assam,Barpeta,781307,84.1,4.525974025974025,MoM Spike
2025-07,Assam,Barpeta,781309,307.8,5.51476793248945,MoM Spike
2025-09,Assam,Barpeta,781312,35.8,7.363636363636362,MoM Spike
2025-09,Assam,Barpeta,781313,208.3,8.872641509433961,MoM Spike
2025-09,Assam,Barpeta,781316,456.20000000000005,3.703703703703704,MoM Spike
2025-06,Assam,Barpeta,781317,247.8,5.988764044943821,MoM Spike
2025-09,Assam,Barpeta,781318,95.6,4.138297872340425,MoM Spike
2025-09,Assam,Barpeta,781321,156.8,4.404109589041096,MoM Spike
2025-09,Assam,Barpeta,781328,19.900000000000002,3.3541666666666665,MoM Spike
2025-12,Assam,Barpeta,781328,38.6,5.092307692307693,MoM Spike
2025-09,Assam,Barpeta,781329,32.7,5.240740740740741,MoM Spike
2025-09,Assam,Barpeta,781352,170.7,3.5909090909090904,MoM Spike
2025-09,Assam,Barpeta,781375,56.400000000000006,6.552631578947368,MoM Spike
2025-07,Assam,Barpeta,783101,429.5,13.35,MoM Spike
2025-11,Assam,Biswanath,784166,19.5,6.884615384615384,MoM Spike
2025-09,Assam,Biswanath,784169,18.6,4.444444444444445,MoM Spike
2025-09,Assam,Biswanath,784172,34.8,5.629629629629629,MoM Spike
2025-04,Assam,Biswanath,784174,79.30000000000001,4.904411764705883,MoM Spike
2025-09,Assam,Biswanath,784175,53.0,3.5,MoM Spike
2025-04,Assam,Biswanath,784177,25.0,7.666666666666667,MoM Spike
2025-09,Assam,Bongaigaon,783371,21.4,4.090909090909091,MoM Spike
2025-09,Assam,Bongaigaon,783381,24.6,3.4137931034482754,MoM Spike
2025-04,Assam,Bongaigaon,783382,80.2,3.365591397849462,MoM Spike
2025-07,Assam,Bongaigaon,783388,89.2,3.849462365591397,MoM Spike
2025-04,Assam,Bongaigaon,783389,38.0,4.416666666666667,MoM Spike
2025-07,Assam,Bongaigaon,783391,157.5,11.782258064516128,MoM Spike
2025-04,Assam,Cachar,788002,105.4,7.721311475409836,MoM Spike
2025-04,Assam,Cachar,788003,95.7,3.740196078431372,MoM Spike
2025-07,Assam,Cachar,788003,186.4,12.385714285714286,MoM Spike
2025-04,Assam,Cachar,788009,100.7,6.58955223880597,MoM Spike
2025-07,Assam,Cachar,788011,43.5,9.113636363636363,MoM Spike
2025-04,Assam,Cachar,788030,146.5,5.357758620689655,MoM Spike
2025-04,Assam,Cachar,788101,152.10000000000002,4.567272727272728,MoM Spike
2025-07,Assam,Cachar,788102,67.6,18.055555555555554,MoM Spike
2025-09,Assam,Cachar,788104,81.5,5.156716417910447,MoM Spike
2025-04,Assam,Cachar,788111,19.6,5.058823529411765,MoM Spike
2025-04,Assam,Cachar,788112,24.200000000000003,7.400000000000001,MoM Spike
2025-07,Assam,Cachar,788112,88.2,14.379310344827585,MoM Spike
2025-07,Assam,Cachar,788113,99.7,9.275510204081632,MoM Spike
2025-04,Assam,Cachar,788114,102.6,8.504587155963302,MoM Spike
2025-09,Assam,Cachar,788115,53.2,3.370967741935484,MoM Spike
2025-04,Assam,Cachar,788116,128.10000000000002,5.20673076923077,MoM Spike
2025-04,Assam,Cachar,788117,59.7,5.7444444444444445,MoM Spike
2025-07,Assam,Cachar,788117,66.1,7.828947368421051,MoM Spike
2025-04,Assam,Cachar,788119,156.60000000000002,4.167213114754099,MoM Spike
2025-09,Assam,Cachar,788119,206.9,3.4999999999999996,MoM Spike
2025-04,Assam,Cachar,788120,176.8,4.81045751633987,MoM Spike
2025-09,Assam,Cachar,788121,35.2,4.323529411764706,MoM Spike
2025-09,Assam,Cachar,788123,18.8,3.95,MoM Spike
2025-07,Assam,Cachar,788126,150.7,8.724358974358973,MoM Spike
2025-09,Assam,Cachar,788127,22.9,5.638888888888888,MoM Spike
2025-07,Assam,Cachar,788802,95.0,16.777777777777775,MoM Spike
2025-09,Assam,Cachar,788804,52.900000000000006,3.5677966101694922,MoM Spike
2025-04,Assam,Cachar,788805,51.800000000000004,5.439024390243903,MoM Spike
2025-07,Assam,Cachar,788805,149.8,14.387755102040815,MoM Spike
2025-07,Assam,Cachar,788815,487.1,15.60204081632653,MoM Spike
2025-07,Assam,Cachar,788817,297.1,18.873333333333335,MoM Spike
2025-06,Assam,Charaideo,785673,33.0,4.483870967741935,MoM Spike
2025-06,Assam,Chirang,783372,268.0,7.251533742331288,MoM Spike
2025-07,Assam,Chirang,783373,65.7,10.5,MoM Spike
2025-04,Assam,Chirang,783375,104.80000000000001,3.3360655737704916,MoM Spike
2025-09,Assam,Chirang,783380,30.0,3.558823529411764,MoM Spike
2025-07,Assam,Chirang,783390,451.3,6.7184300341296925,MoM Spike
2025-07,Assam,Chirang,783394,56.0,8.827586206896552,MoM Spike
2025-11,Assam,Chirang,783394,83.9,3.716666666666667,MoM Spike
2025-09,Assam,Darrang,784115,257.6,3.753676470588235,MoM Spike
2025-09,Assam,Darrang,784116,243.2,3.590225563909774,MoM Spike
2025-04,Assam,Darrang,784125,170.7,11.264285714285714,MoM Spike
2025-09,Assam,Darrang,784144,43.6,3.3725490196078427,MoM Spike
2025-09,Assam,Darrang,784145,215.8,3.8828828828828823,MoM Spike
2025-09,Assam,Darrang,784146,143.8,3.4146341463414642,MoM Spike
2025-09,Assam,Darrang,784148,42.0,4.119047619047619,MoM Spike
2025-04,Assam,Darrang,784190,170.3,9.70625,MoM Spike
2025-09,Assam,Darrang,784529,28.400000000000002,4.880000000000001,MoM Spike
2025-07,Assam,Dhemaji,786110,187.7,10.232142857142856,MoM Spike
2025-07,Assam,Dhemaji,787026,63.2,4.095238095238095,MoM Spike
2025-07,Assam,Dhemaji,787034,70.3,3.4012345679012337,MoM Spike
2025-07,Assam,Dhemaji,787057,191.3,7.662162162162162,MoM Spike
2025-07,Assam,Dhemaji,787058,154.4,15.53191489361702,MoM Spike
2025-07,Assam,Dhemaji,787059,313.0,10.214285714285714,MoM Spike
2025-09,Assam,Dhubri,783127,115.80000000000001,5.56179775280899,MoM Spike
2025-09,Assam,Dhubri,783323,130.60000000000002,5.714285714285715,MoM Spike
2025-07,Assam,Dhubri,783324,86.5,3.375,MoM Spike
2025-07,Assam,Dhubri,783331,353.6,9.680722891566266,MoM Spike
2025-07,Assam,Dhubri,783337,243.2,19.349999999999998,MoM Spike
2025-09,Assam,Dhubri,783348,543.6,5.259770114942529,MoM Spike
2025-09,Assam,Dhubri,783349,247.60000000000002,7.631944444444445,MoM Spike
2025-09,Assam,Dhubri,783371,129.9,4.278225806451613,MoM Spike
2025-09,Assam,Dhubri,783376,24.4,3.884615384615384,MoM Spike
2025-07,Assam,Dibrugarh,786001,124.4,10.830188679245282,MoM Spike
2025-11,Assam,Dibrugarh,786006,5.5,4.0,MoM Spike
2025-07,Assam,Dibrugarh,786007,169.7,14.805555555555552,MoM Spike
2025-07,Assam,Dibrugarh,786012,40.9,7.38,MoM Spike
2025-06,Assam,Dibrugarh,786101,121.0,7.243243243243243,MoM Spike
2025-07,Assam,Dibrugarh,786602,101.0,3.9514563106796117,MoM Spike
2025-07,Assam,Dibrugarh,786610,102.7,3.6711711711711708,MoM Spike
2025-09,Assam,Dibrugarh,786621,17.700000000000003,4.1944444444444455,MoM Spike
2025-07,Assam,Goalpara,783120,75.8,4.485714285714286,MoM Spike
2025-09,Assam,Goalpara,783124,60.4,5.822222222222222,MoM Spike
2025-07,Assam,Goalpara,783125,200.1,13.786764705882351,MoM Spike
2025-07,Assam,Goalpara,783126,167.5,11.574626865671641,MoM Spike
2025-04,Assam,Goalpara,783129,344.8,4.311827956989249,MoM Spike
2025-07,Assam,Goalpara,783129,918.9000000000001,19.62556053811659,MoM Spike
2025-07,Assam,Goalpara,783130,120.5,8.204545454545453,MoM Spike
2025-04,Assam,Goalpara,783132,125.9,4.985849056603773,MoM Spike
2025-07,Assam,Goalpara,783132,226.4,11.775280898876403,MoM Spike
2025-06,Assam,Goalpara,783134,39.0,9.526315789473685,MoM Spike
2025-05,Assam,Golaghat,785602,86.1,5.04861111111111,MoM Spike
2025-07,Assam,Golaghat,785602,68.6,6.249999999999999,MoM Spike
2025-04,Assam,Golaghat,785603,73.0,3.6835443037974684,MoM Spike
2025-05,Assam,Golaghat,785609,39.0,8.523809523809522,MoM Spike
2025-07,Assam,Golaghat,785610,26.6,7.11764705882353,MoM Spike
2025-07,Assam,Golaghat,785611,72.5,8.1875,MoM Spike
2025-07,Assam,Golaghat,785613,60.6,10.407407407407407,MoM Spike
2025-05,Assam,Golaghat,785614,125.6,5.806451612903225,MoM Spike
2025-05,Assam,Golaghat,785615,35.7,5.116666666666667,MoM Spike
2025-07,Assam,Golaghat,785615,40.6,9.4,MoM Spike
2025-07,Assam,Golaghat,785619,42.4,4.2926829268292686,MoM Spike
2025-06,Assam,Golaghat,785625,149.6,36.65,MoM Spike
2025-09,Assam,Golaghat,785626,17.6,4.470588235294118,MoM Spike
2025-07,Assam,Golaghat,785699,30.7,5.604166666666665,MoM Spike
2025-04,Assam,Golaghat,785702,93.7,5.622377622377623,MoM Spike
2025-09,Assam,Hailakandi,788151,45.7,3.490384615384616,MoM Spike
2025-04,Assam,Hailakandi,788152,43.1,13.700000000000001,MoM Spike
2025-04,Assam,Hailakandi,788155,80.3,3.442622950819672,MoM Spike
2025-06,Assam,Hailakandi,788155,83.80000000000001,4.888888888888889,MoM Spike
2025-07,Assam,Hailakandi,788161,270.3,3.4042207792207795,MoM Spike
2025-09,Assam,Hailakandi,788162,151.9,3.6333333333333333,MoM Spike
2025-04,Assam,Hailakandi,788163,115.4,10.64,MoM Spike
2025-06,Assam,Hailakandi,788163,110.0,4.721649484536082,MoM Spike
2025-06,Assam,Hailakandi,788164,49.400000000000006,4.478260869565217,MoM Spike
2025-07,Assam,Hailakandi,788165,73.9,7.709302325581396,MoM Spike
2025-09,Assam,Hailakandi,788802,17.0,4.625,MoM Spike
2025-09,Assam,Hojai,782428,42.8,3.4693877551020407,MoM Spike
2025-07,Assam,Hojai,782435,452.5,10.871727748691098,MoM Spike
2025-04,Assam,Hojai,782439,92.80000000000001,4.299435028248588,MoM Spike
2025-09,Assam,Hojai,782439,174.79999999999998,5.659090909090907,MoM Spike
2025-09,Assam,Hojai,782440,137.3,9.976190476190476,MoM Spike
2025-09,Assam,Hojai,782442,100.60000000000001,3.9803921568627447,MoM Spike
2025-09,Assam,Hojai,782445,140.8,6.463157894736843,MoM Spike
2025-09,Assam,Hojai,782481,16.4,4.437499999999999,MoM Spike
2025-07,Assam,Jorhat,785001,61.1,6.392857142857143,MoM Spike
2025-07,Assam,Jorhat,785006,48.1,13.441176470588236,MoM Spike
2025-11,Assam,Jorhat,785010,58.3,4.294642857142857,MoM Spike
2025-07,Assam,Jorhat,785108,45.5,4.535714285714286,MoM Spike
2025-07,Assam,Jorhat,785112,67.1,6.093749999999999,MoM Spike
2025-07,Assam,Jorhat,785616,46.0,6.12121212121212,MoM Spike
2025-09,Assam,Jorhat,785631,62.6,6.75609756097561,MoM Spike
2025-09,Assam,Jorhat,785632,27.0,5.086956521739131,MoM Spike
2025-07,Assam,Jorhat,785633,18.0,3.75,MoM Spike
2025-07,Assam,Jorhat,785634,81.3,7.2299999999999995,MoM Spike
2025-04,Assam,Jorhat,785635,61.0,3.62686567164179,MoM Spike
2025-07,Assam,Jorhat,785635,69.3,4.021428571428571,MoM Spike
2025-07,Assam,Jorhat,785636,38.0,7.863636363636363,MoM Spike
2025-09,Assam,Kamrup,781018,21.1,5.5,MoM Spike
2025-09,Assam,Kamrup,781030,20.0,3.772727272727273,MoM Spike
2025-04,Assam,Kamrup,781031,29.5,7.472222222222221,MoM Spike
2025-07,Assam,Kamrup,781101,88.9,6.491666666666667,MoM Spike
2025-07,Assam,Kamrup,781102,275.4,6.852272727272727,MoM Spike
2025-07,Assam,Kamrup,781103,93.9,5.590277777777778,MoM Spike
2025-07,Assam,Kamrup,781120,23.8,3.592592592592592,MoM Spike
2025-04,Assam,Kamrup,781121,84.60000000000001,8.727272727272728,MoM Spike
2025-09,Assam,Kamrup,781121,52.8,4.489795918367347,MoM Spike
2025-07,Assam,Kamrup,781122,63.2,9.03125,MoM Spike
2025-07,Assam,Kamrup,781123,116.7,6.544871794871794,MoM Spike
2025-09,Assam,Kamrup,781124,45.2,9.5,MoM Spike
2025-04,Assam,Kamrup,781125,38.5,4.197368421052631,MoM Spike
2025-07,Assam,Kamrup,781125,41.1,5.014285714285714,MoM Spike
2025-09,Assam,Kamrup,781127,124.6,4.607142857142856,MoM Spike
2025-07,Assam,Kamrup,781129,23.0,5.31578947368421,MoM Spike
2025-07,Assam,Kamrup,781135,62.2,6.523809523809524,MoM Spike
2025-07,Assam,Kamrup,781136,526.0,7.932203389830509,MoM Spike
2025-07,Assam,Kamrup,781137,325.4,10.826086956521737,MoM Spike
2025-07,Assam,Kamrup,781141,100.2,5.837837837837838,MoM Spike
2025-05,Assam,Kamrup,781350,42.6,11.11111111111111,MoM Spike
2025-04,Assam,Kamrup,781354,252.3,3.664825046040516,MoM Spike
2025-04,Assam,Kamrup,781366,108.9,4.183962264150944,MoM Spike
2025-09,Assam,Kamrup,781366,94.69999999999999,6.249999999999998,MoM Spike
2025-04,Assam,Kamrup,781376,43.400000000000006,9.090909090909092,MoM Spike
2025-04,Assam,Kamrup,781380,135.3,19.044117647058822,MoM Spike
2025-07,Assam,Kamrup,781380,93.1,6.71311475409836,MoM Spike
2025-04,Assam,Kamrup,781381,161.8,7.8478260869565215,MoM Spike
2025-07,Assam,Kamrup,781381,56.9,3.5952380952380945,MoM Spike
2025-09,Assam,Kamrup,781382,34.400000000000006,4.057142857142858,MoM Spike
2025-09,Assam,Kamrup Metro,781001,39.9,3.869047619047619,MoM Spike
2025-07,Assam,Kamrup Metro,781006,31.6,5.269230769230769,MoM Spike
2025-04,Assam,Kamrup Metro,781009,47.8,3.784313725490196,MoM Spike
2025-09,Assam,Kamrup Metro,781009,32.0,3.5833333333333335,MoM Spike
2025-04,Assam,Kamrup Metro,781012,62.0,7.289473684210526,MoM Spike
2025-04,Assam,Kamrup Metro,781016,50.5,4.255102040816326,MoM Spike
2025-07,Assam,Kamrup Metro,781019,26.7,4.129629629629629,MoM Spike
2025-09,Assam,Kamrup Metro,781024,15.4,3.555555555555556,MoM Spike
2025-04,Assam,Kamrup Metro,781025,100.0,5.688741721854305,MoM Spike
